// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B47AA9
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
04744	-0.024413	0.028536	9.908815	0.011409	-0.008288	0.096188	0.999637	0.000090	0.000202	0.026954
04745	-0.053592	0.035332	9.967019	-0.017744	-0.003236	0.154522	0.999636	0.000091	0.000221	0.026968
04746	-0.024630	0.035021	9.937294	0.011163	-0.001898	0.124692	0.999636	0.000092	0.000211	0.026966
04747	-0.052701	0.028109	9.938545	-0.016722	-0.010332	0.126018	0.999637	0.000092	0.000198	0.026944
04748	-0.017090	0.007077	9.944060	0.019892	-0.029538	0.131326	0.999637	0.000102	0.000201	0.026950
04749	-0.059052	0.055642	9.931785	-0.024680	0.016600	0.119384	0.999637	0.000107	0.000196	0.026948
04750	-0.023134	0.027691	9.908820	0.012571	-0.009333	0.096186	0.999637	0.000105	0.000198	0.026953
04751	-0.023394	0.034289	9.937299	0.012130	-0.002768	0.124691	0.999637	0.000098	0.000203	0.026958
04752	-0.051701	0.027224	9.938553	-0.015750	-0.011219	0.126019	0.999636	0.000092	0.000198	0.026964
04753	-0.022593	0.027017	9.908823	0.013157	-0.009850	0.096185	0.999636	0.000107	0.000197	0.026972
04754	-0.023153	0.040813	9.965780	0.012075	0.003441	0.153196	0.999636	0.000117	0.000198	0.026969
04755	-0.057584	0.047783	9.903318	-0.022898	0.008797	0.090883	0.999636	0.000105	0.000199	0.026983
04756	-0.015671	0.005742	9.944064	0.021467	-0.030922	0.131319	0.999636	0.000102	0.000208	0.026968
04757	-0.050562	0.019558	9.910080	-0.014143	-0.018837	0.097513	0.999636	0.000101	0.000209	0.026974
04758	-0.021972	0.026163	9.908827	0.014117	-0.010717	0.096183	0.999636	0.000104	0.000215	0.026970
04759	-0.051080	0.032954	9.967040	-0.015032	-0.005734	0.154525	0.999636	0.000103	0.000215	0.026966
04760	-0.022072	0.032870	9.937307	0.013865	-0.004337	0.124688	0.999636	0.000123	0.000219	0.026964
04761	-0.043172	-0.008490	9.916840	-0.004973	-0.046816	0.104139	0.999637	0.000115	0.000223	0.026959
04762	-0.021840	0.032655	9.937308	0.014252	-0.004677	0.124687	0.999637	0.000125	0.000225	0.026956
04763	-0.050151	0.025657	9.938565	-0.013616	-0.013166	0.126019	0.999636	0.000113	0.000226	0.026970
04764	-0.050001	0.025444	9.938566	-0.013422	-0.013345	0.126019	0.999636	0.000122	0.000228	0.026977
04765	-0.021383	0.032134	9.937311	0.014831	-0.005200	0.124686	0.999636	0.000121	0.000230	0.026983
04766	-0.056263	0.045973	9.903334	-0.020800	0.006844	0.090889	0.999636	0.000124	0.000236	0.026979
04767	-0.049247	0.018149	9.910089	-0.012196	-0.020601	0.097512	0.999636	0.000123	0.000237	0.026984
04768	-0.027906	0.059152	9.930561	0.006995	0.021549	0.118063	0.999635	0.000111	0.000237	0.026999
04769	-0.020396	0.024487	9.908834	0.016249	-0.012614	0.096177	0.999636	0.000126	0.000234	0.026988
04770	-0.056159	0.052122	9.931820	-0.020676	0.012861	0.119399	0.999636	0.000122	0.000256	0.026991
04771	-0.020303	0.024201	9.908835	0.016637	-0.012955	0.096176	0.999636	0.000122	0.000243	0.026969
04772	-0.049307	0.030945	9.967056	-0.012506	-0.008034	0.154527	0.999636	0.000125	0.000252	0.026984
04773	-0.055749	0.051577	9.931826	-0.020103	0.012327	0.119401	0.999636	0.000124	0.000252	0.026980
04774	-0.019744	0.023744	9.908838	0.017217	-0.013480	0.096174	0.999636	0.000129	0.000247	0.026977
04775	0.009006	0.030381	9.907579	0.045458	-0.005298	0.094837	0.999636	0.000124	0.000241	0.026974
04776	-0.048080	0.023313	9.938581	-0.011086	-0.015475	0.126019	0.999636	0.000123	0.000243	0.026989
04777	-0.019319	0.030012	9.937322	0.017153	-0.007279	0.124681	0.999635	0.000129	0.000229	0.026997
04778	-0.040588	-0.004736	9.945331	-0.002245	-0.043084	0.132634	0.999636	0.000115	0.000237	0.026982
04779	-0.047445	0.022690	9.938586	-0.010501	-0.015995	0.126019	0.999636	0.000124	0.000239	0.026979
04780	-0.018444	0.022583	9.908843	0.018380	-0.014513	0.096171	0.999636	0.000123	0.000240	0.026985
04781	-0.040110	-0.005214	9.945333	-0.001650	-0.043604	0.132632	0.999636	0.000128	0.000235	0.026982
04782	-0.017948	0.022241	9.908844	0.018766	-0.014856	0.096169	0.999636	0.000122	0.000230	0.026988
04783	-0.018163	0.028883	9.937327	0.018312	-0.008315	0.124678	0.999636	0.000126	0.000236	0.026984
04784	-0.039406	-0.005774	9.945336	-0.001058	-0.044135	0.132630	0.999636	0.000126	0.000225	0.026971
04785	-0.053412	0.056226	9.960334	-0.018466	0.016916	0.147917	0.999636	0.000131	0.000222	0.026988
04786	-0.017496	0.028332	9.937330	0.018889	-0.008830	0.124677	0.999636	0.000117	0.000232	0.026991
04787	-0.017193	0.028030	9.937332	0.019077	-0.009001	0.124676	0.999636	0.000119	0.000210	0.026980
04788	-0.051964	0.041858	9.903376	-0.016603	0.002955	0.090899	0.999636	0.000127	0.000223	0.026985
04789	-0.016937	0.027875	9.937332	0.019461	-0.009348	0.124675	0.999636	0.000130	0.000230	0.026991
04790	-0.016387	0.020820	9.908850	0.020303	-0.016234	0.096164	0.999635	0.000124	0.000225	0.026997
04791	-0.045002	0.020522	9.938602	-0.008184	-0.018111	0.126017	0.999635	0.000123	0.000226	0.027002
04792	-0.030242	0.082662	9.923858	0.003032	0.044625	0.111461	0.999635	0.000140	0.000213	0.027002
04793	-0.044533	0.020386	9.938604	-0.007794	-0.018466	0.126017	0.999635	0.000131	0.000229	0.027005
04794	-0.044409	0.020222	9.938605	-0.007600	-0.018644	0.126017	0.999636	0.000142	0.000219	0.026994
04795	-0.008772	-0.000722	9.944074	0.029138	-0.037627	0.131276	0.999635	0.000129	0.000229	0.026998
04796	-0.022654	0.054176	9.930603	0.012300	0.016684	0.118067	0.999636	0.000123	0.000223	0.026994
04797	-0.043459	0.012531	9.910125	-0.006361	-0.025881	0.097505	0.999635	0.000122	0.000224	0.027000
04798	-0.044069	0.026003	9.967094	-0.007469	-0.012645	0.154528	0.999635	0.000121	0.000224	0.026996
04799	-0.021686	0.046663	9.902123	0.013523	0.009454	0.089556	0.999636	0.000119	0.000225	0.026993
04800	-0.035797	-0.015614	9.916861	0.002759	-0.053647	0.104105	0.999636	0.000130	0.000216	0.026991
04801	-0.050136	0.046328	9.931881	-0.014769	0.007357	0.119415	0.999636	0.000121	0.000232	0.026995
04802	-0.043253	0.025277	9.967100	-0.006691	-0.013353	0.154527	0.999636	0.000123	0.000209	0.026984
04803	-0.042392	0.018265	9.938617	-0.005845	-0.020242	0.126015	0.999635	0.000124	0.000203	0.027020
04804	-0.042195	0.018114	9.938619	-0.005650	-0.020419	0.126015	0.999635	0.000127	0.000208	0.027006
04805	-0.020349	0.045729	9.902131	0.014659	0.008405	0.089555	0.999635	0.000131	0.000215	0.027012
04806	-0.042018	0.017833	9.938620	-0.005263	-0.020772	0.126014	0.999635	0.000130	0.000215	0.027008
04807	-0.041859	0.017729	9.938621	-0.005064	-0.020948	0.126014	0.999635	0.000139	0.000218	0.027015
04808	-0.048802	0.045192	9.931893	-0.013430	0.006105	0.119418	0.999635	0.000132	0.000223	0.027010
04809	-0.013156	0.024416	9.937347	0.023334	-0.012821	0.124663	0.999635	0.000147	0.000221	0.027018
04810	-0.041880	0.024132	9.967109	-0.005135	-0.014782	0.154526	0.999635	0.000134	0.000231	0.027022
04811	-0.012966	0.024036	9.937348	0.023725	-0.013167	0.124662	0.999635	0.000143	0.000231	0.027000
04812	-0.041224	0.016969	9.938625	-0.004087	-0.021835	0.126012	0.999635	0.000142	0.000233	0.027015
04813	-0.047796	0.037487	9.903414	-0.011816	-0.001479	0.090906	0.999635	0.000134	0.000239	0.027020
04814	-0.012625	0.023447	9.937350	0.024307	-0.013682	0.124659	0.999635	0.000138	0.000245	0.027016
04815	-0.040927	0.016310	9.938627	-0.003500	-0.022360	0.126012	0.999635	0.000137	0.000245	0.027013
04816	-0.026444	0.078382	9.923904	0.007515	0.040417	0.111476	0.999635	0.000142	0.000240	0.027010
04817	-0.040629	0.015936	9.938629	-0.003115	-0.022713	0.126011	0.999635	0.000133	0.000256	0.027013
04818	-0.047219	0.036560	9.903420	-0.010860	-0.002365	0.090907	0.999635	0.000144	0.000249	0.027021
04819	-0.041142	0.029222	9.995604	-0.004041	-0.009679	0.183039	0.999635	0.000130	0.000256	0.027006
04820	-0.018422	0.043028	9.902146	0.017520	0.005803	0.089553	0.999635	0.000131	0.000247	0.027013
04821	-0.039815	0.014999	9.938634	-0.002334	-0.023421	0.126009	0.999635	0.000125	0.000242	0.027019
04822	-0.011117	0.021805	9.937356	0.025856	-0.015068	0.124654	0.999635	0.000130	0.000237	0.027016
04823	-0.046028	0.035439	9.903430	-0.009900	-0.003250	0.090908	0.999635	0.000129	0.000239	0.027022
04824	-0.039601	0.021207	9.967124	-0.002407	-0.017259	0.154523	0.999635	0.000121	0.000244	0.027027
04825	-0.017732	0.048904	9.930640	0.017814	0.011629	0.118066	0.999635	0.000137	0.000240	0.027016
04826	-0.038905	0.014114	9.938638	-0.001359	-0.024303	0.126008	0.999635	0.000123	0.000250	0.027019
04827	-0.024654	0.076136	9.923926	0.009561	0.038496	0.111482	0.999635	0.000133	0.000250	0.026997
04828	-0.010161	0.020767	9.937359	0.027017	-0.016101	0.124649	0.999635	0.000127	0.000245	0.027003
04829	-0.045485	0.041094	9.931927	-0.009412	0.002379	0.119424	0.999635	0.000126	0.000246	0.027009
04830	-0.038223	0.013213	9.938642	-0.000578	-0.025008	0.126006	0.999635	0.000119	0.000250	0.027005
04831	-0.045701	0.047421	9.960418	-0.009688	0.008716	0.147940	0.999635	0.000122	0.000258	0.027010
04832	-0.030879	-0.014997	9.945356	0.008463	-0.052563	0.132585	0.999635	0.000099	0.000255	0.027015
04833	-0.016519	0.047006	9.930651	0.019337	0.010245	0.118065	0.999635	0.000115	0.000251	0.027003
04834	-0.037249	0.005371	9.910157	0.000865	-0.032393	0.097488	0.999635	0.000101	0.000261	0.027007
04835	-0.044720	0.039574	9.931936	-0.008265	0.001328	0.119425	0.999636	0.000110	0.000261	0.026985
04836	-0.044493	0.039423	9.931938	-0.008073	0.001150	0.119425	0.999635	0.000105	0.000257	0.027000
04837	-0.043927	0.032394	9.903450	-0.007218	-0.005709	0.090909	0.999635	0.000108	0.000263	0.026996
04838	-0.037419	0.018323	9.967139	0.000317	-0.019721	0.154519	0.999635	0.000113	0.000260	0.027003
04839	-0.015514	0.046084	9.930657	0.020479	0.009212	0.118064	0.999635	0.000118	0.000255	0.027001
04840	-0.036980	0.018023	9.967141	0.000709	-0.020074	0.154518	0.999635	0.000110	0.000261	0.027006
04841	-0.036402	0.011103	9.938652	0.001569	-0.026933	0.126001	0.999636	0.000126	0.000257	0.026995
04842	-0.015179	0.045711	9.930660	0.021052	0.008690	0.118063	0.999635	0.000122	0.000279	0.026998
04843	-0.043515	0.038410	9.931946	-0.006727	-0.000087	0.119426	0.999636	0.000122	0.000269	0.026996
04844	-0.036038	0.010614	9.938654	0.002157	-0.027460	0.125999	0.999636	0.000121	0.000269	0.026992
04845	-0.007351	0.017507	9.937368	0.030320	-0.019025	0.124634	0.999636	0.000122	0.000258	0.026990
04846	-0.035062	0.003515	9.910166	0.003214	-0.034494	0.097480	0.999636	0.000131	0.000260	0.026987
04847	-0.042513	0.037822	9.931953	-0.005960	-0.000798	0.119427	0.999636	0.000130	0.000261	0.026993
04848	-0.042399	0.037551	9.931954	-0.005768	-0.000976	0.119427	0.999635	0.000123	0.000267	0.026998
04849	-0.013741	0.044457	9.930667	0.022387	0.007480	0.118061	0.999635	0.000129	0.000253	0.027006
04850	-0.041915	0.037096	9.931958	-0.005385	-0.001326	0.119427	0.999635	0.000115	0.000263	0.027010
04851	-0.035022	0.015983	9.967151	0.002857	-0.022014	0.154514	0.999635	0.000114	0.000262	0.026997
04852	-0.041246	0.029852	9.903470	-0.004332	-0.008355	0.090909	0.999635	0.000124	0.000265	0.027004
04853	-0.041516	0.036666	9.931961	-0.005912	-0.001136	0.119427	0.999638	0.000096	0.000212	0.026907
04854	-0.041466	0.036549	9.931962	-0.005721	-0.001313	0.119427	0.999638	0.000093	0.000223	0.026912
