// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B47AB0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
04744	-0.890613	-9.826235	-0.073240	-0.131872	0.222137	0.050716	-0.042510	-0.030716	-0.700815	0.711413
04745	-0.959602	-9.854914	-0.604639	-0.070688	0.756604	0.078131	-0.042537	-0.030670	-0.700625	0.711600
04746	-1.013500	-9.756599	-0.939082	-0.009742	1.100096	-0.020346	-0.042807	-0.030346	-0.700107	0.712108
04747	-0.941834	-9.459095	0.171357	-0.039755	-0.001236	-0.305359	-0.043284	-0.029811	-0.699586	0.712613
04748	-0.681551	-9.373514	1.371730	-0.275898	-1.199680	-0.394962	-0.043558	-0.029475	-0.699660	0.712537
04749	-0.825349	-9.849491	1.067487	-0.184669	-0.892715	0.086916	-0.043316	-0.029712	-0.700114	0.712097
04750	-1.010415	-10.118863	0.568770	-0.034580	-0.397226	0.364584	-0.042975	-0.030100	-0.700339	0.711880
04751	-0.980621	-9.954037	-0.056618	-0.054040	0.222832	0.187068	-0.042721	-0.030399	-0.700244	0.711975
04752	-1.021953	-9.826213	-0.748137	-0.006280	0.918211	0.052169	-0.042516	-0.030647	-0.699918	0.712297
04753	-1.044942	-9.620376	-0.690427	0.038260	0.867307	-0.150051	-0.042507	-0.030669	-0.699495	0.712713
04754	-0.918748	-9.470905	-0.170261	-0.067681	0.352564	-0.302575	-0.042651	-0.030512	-0.699238	0.712963
04755	-0.830252	-9.479165	0.436243	-0.151285	-0.251881	-0.291770	-0.042814	-0.030356	-0.699299	0.712900
04756	-0.839063	-9.696474	0.630154	-0.162886	-0.446412	-0.071183	-0.042886	-0.030244	-0.699599	0.712606
04757	-0.857535	-9.890022	0.423916	-0.165686	-0.243809	0.119116	-0.042817	-0.030270	-0.699821	0.712391
04758	-0.948677	-9.908666	0.240699	-0.078383	-0.062186	0.143697	-0.042726	-0.030357	-0.699807	0.712407
