// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B47ACA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
04744	1.333074	-2.100944	9.443138	0.128104	-0.071696	-0.048347	-0.689846	0.127195	-0.040634	0.711536
04745	1.228496	-2.126759	9.355427	0.085524	0.021278	-0.140638	-0.689927	0.127195	-0.040728	0.711452
04746	1.192672	-2.154261	9.382767	0.066812	0.059831	-0.112606	-0.690003	0.127177	-0.040811	0.711377
04747	1.101173	-2.209050	9.472806	0.036841	0.161882	-0.024993	-0.690083	0.127138	-0.040929	0.711299
04748	1.133810	-2.345879	9.636161	-0.057688	0.153752	0.168160	-0.690113	0.127138	-0.040995	0.711266
04749	1.127162	-2.440512	9.727375	-0.127517	0.174879	0.276989	-0.690153	0.127161	-0.041025	0.711221
04750	1.109860	-2.456030	9.692307	-0.149582	0.188549	0.244487	-0.690191	0.127217	-0.041042	0.711173
04751	1.091143	-2.413732	9.584734	-0.132352	0.192712	0.128599	-0.690253	0.127274	-0.041019	0.711104
04752	1.185740	-2.263390	9.500605	-0.006529	0.083263	0.025170	-0.690324	0.127339	-0.040976	0.711027
04753	1.320489	-2.154815	9.488602	0.094737	-0.055655	0.006091	-0.690411	0.127366	-0.040944	0.710939
04754	1.373997	-2.066645	9.450610	0.171003	-0.116026	-0.043849	-0.690501	0.127426	-0.040872	0.710845
04755	1.345681	-2.103906	9.504614	0.148024	-0.078487	0.013141	-0.690591	0.127487	-0.040837	0.710749
04756	1.302095	-2.216855	9.499053	0.038047	-0.030456	0.028021	-0.690633	0.127523	-0.040844	0.710701
04757	1.274157	-2.315017	9.528579	-0.049708	0.004473	0.075392	-0.690652	0.127490	-0.040894	0.710685
04758	1.233231	-2.438167	9.550244	-0.163981	0.051534	0.119237	-0.690665	0.127421	-0.040940	0.710683
04759	1.207022	-2.377897	9.610703	-0.091526	0.080496	0.160379	-0.690689	0.127323	-0.040984	0.710675
04760	1.207004	-2.330355	9.565579	-0.056386	0.070931	0.105957	-0.690728	0.127234	-0.041045	0.710648
04761	1.145183	-2.239053	9.580708	0.036368	0.128431	0.091704	-0.690785	0.127180	-0.041075	0.710601
04762	1.064996	-2.209624	9.606297	0.071837	0.209235	0.099359	-0.690847	0.127191	-0.041071	0.710539
04763	1.084424	-2.258000	9.519574	0.003979	0.182227	0.029244	-0.690880	0.127220	-0.040964	0.710508
04764	1.226880	-2.219297	9.510160	0.036470	0.040055	0.029606	-0.690916	0.127232	-0.040841	0.710478
04765	1.314445	-2.210791	9.466180	0.032094	-0.050617	-0.003491	-0.690917	0.127259	-0.040713	0.710480
04766	1.298528	-2.328644	9.549509	-0.064261	-0.017472	0.101820	-0.690905	0.127297	-0.040594	0.710491
04767	1.297179	-2.374381	9.595260	-0.099085	-0.006688	0.156239	-0.690886	0.127326	-0.040504	0.710510
04768	1.247622	-2.414498	9.587747	-0.140175	0.044688	0.151730	-0.690862	0.127330	-0.040434	0.710536
