// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B47F0C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
04744	-5.109245	-0.607078	-8.523669	0.240717	-0.051081	0.140468	-0.142811	-0.726185	-0.629834	0.235732
04745	-5.190099	-0.605621	-8.612367	0.250441	-0.079530	0.257453	-0.142628	-0.726136	-0.629959	0.235660
04746	-5.188210	-0.649621	-8.555898	0.200039	-0.102514	0.211903	-0.142474	-0.726060	-0.630118	0.235562
04747	-5.189237	-0.762006	-8.519443	0.084998	-0.107020	0.190865	-0.142339	-0.725985	-0.630276	0.235451
04748	-5.128047	-0.869958	-8.463510	-0.023042	-0.068240	0.121068	-0.142216	-0.725914	-0.630417	0.235369
04749	-5.023228	-0.910394	-8.475359	-0.049347	0.030476	0.081249	-0.142072	-0.725851	-0.630543	0.235314
04750	-5.082100	-0.888928	-8.505578	-0.027770	-0.011321	0.135271	-0.141952	-0.725798	-0.630649	0.235264
04751	-5.136775	-0.744017	-8.446529	0.102069	-0.112534	0.099970	-0.141873	-0.725700	-0.630766	0.235299
04752	-5.260692	-0.699563	-8.503529	0.145258	-0.196332	0.208022	-0.141947	-0.725554	-0.630850	0.235479
04753	-5.303937	-0.630438	-8.568476	0.222195	-0.207649	0.279661	-0.142116	-0.725388	-0.630898	0.235761
04754	-5.225483	-0.607686	-8.574998	0.255723	-0.134823	0.243255	-0.142283	-0.725218	-0.630961	0.236015
04755	-5.169028	-0.645864	-8.582598	0.227036	-0.071842	0.224258	-0.142396	-0.725084	-0.631027	0.236182
04756	-5.089305	-0.677522	-8.572142	0.202963	-0.001309	0.177332	-0.142439	-0.724983	-0.631119	0.236218
04757	-5.051455	-0.775094	-8.671002	0.126218	0.094931	0.251074	-0.142409	-0.724941	-0.631215	0.236110
04758	-5.050559	-0.829635	-8.653591	0.068581	0.092851	0.240559	-0.142331	-0.724963	-0.631281	0.235913
04759	-5.107944	-0.833380	-8.587858	0.047201	0.006816	0.214009	-0.142184	-0.725040	-0.631330	0.235635
04760	-5.224292	-0.772614	-8.522048	0.083269	-0.140844	0.211717	-0.142034	-0.725122	-0.631369	0.235367
04761	-5.302183	-0.754662	-8.485342	0.085885	-0.233145	0.218362	-0.141971	-0.725171	-0.631391	0.235197
04762	-5.358391	-0.634477	-8.416807	0.186735	-0.335368	0.177819	-0.142024	-0.725169	-0.631378	0.235203
04763	-5.340802	-0.654862	-8.474310	0.177238	-0.286063	0.219944	-0.142198	-0.725091	-0.631376	0.235343
04764	-5.286264	-0.718441	-8.471805	0.119557	-0.224087	0.195695	-0.142518	-0.724949	-0.631378	0.235582
04765	-5.213980	-0.817304	-8.478510	0.030847	-0.135081	0.173278	-0.142818	-0.724796	-0.631384	0.235858
04766	-5.120144	-0.910492	-8.466160	-0.053252	-0.038523	0.122926	-0.143078	-0.724664	-0.631394	0.236079
04767	-5.020887	-0.907048	-8.444489	-0.043539	0.040417	0.053310	-0.143251	-0.724574	-0.631410	0.236206
04768	-4.959434	-0.860217	-8.482317	0.013977	0.106976	0.050072	-0.143309	-0.724557	-0.631405	0.236234
04769	-4.996489	-0.747337	-8.520560	0.126942	0.075908	0.091932	-0.143261	-0.724613	-0.631386	0.236143
04770	-5.010924	-0.642150	-8.491701	0.222947	0.030325	0.065575	-0.143207	-0.724718	-0.631330	0.236003
04771	-5.153530	-0.656114	-8.463559	0.189581	-0.106258	0.115754	-0.143122	-0.724835	-0.631278	0.235837
04772	-5.234277	-0.664677	-8.504105	0.177557	-0.156584	0.192472	-0.143087	-0.724958	-0.631196	0.235697
04773	-5.274221	-0.675451	-8.456390	0.153754	-0.214303	0.173033	-0.143081	-0.725055	-0.631116	0.235618
04774	-5.273949	-0.687857	-8.408175	0.132136	-0.236152	0.132757	-0.143133	-0.725134	-0.631028	0.235578
04775	-5.150840	-0.704040	-8.447944	0.132199	-0.107980	0.105248	-0.143225	-0.725195	-0.630946	0.235555
04776	-5.031484	-0.817520	-8.410206	0.024096	-0.005175	0.021698	-0.143311	-0.725252	-0.630866	0.235540
04777	-4.911755	-0.917131	-8.421257	-0.062240	0.119551	-0.021576	-0.143366	-0.725329	-0.630770	0.235529
04778	-4.952310	-0.886095	-8.430635	-0.035861	0.085184	0.004522	-0.143405	-0.725423	-0.630669	0.235484
04779	-5.029385	-0.743847	-8.390109	0.089173	-0.023443	-0.002822	-0.143406	-0.725515	-0.630562	0.235488
04780	-5.127804	-0.607958	-8.368820	0.209219	-0.139333	0.017773	-0.143434	-0.725590	-0.630462	0.235507
04781	-5.171206	-0.632962	-8.358561	0.178190	-0.176136	0.033367	-0.143507	-0.725645	-0.630365	0.235553
04782	-5.153555	-0.681325	-8.319309	0.125350	-0.170818	-0.005071	-0.143576	-0.725692	-0.630281	0.235590
04783	-5.051263	-0.691285	-8.339056	0.127831	-0.070974	-0.039683	-0.143610	-0.725740	-0.630215	0.235598
04784	-4.969550	-0.722081	-8.241909	0.089390	-0.043455	-0.161935	-0.143663	-0.725783	-0.630154	0.235597
04785	-4.932806	-0.819340	-8.252434	-0.001707	0.009815	-0.163519	-0.143699	-0.725837	-0.630072	0.235626
04786	-4.876833	-0.966458	-8.224597	-0.145790	0.068326	-0.203545	-0.143675	-0.725944	-0.629953	0.235631
04787	-4.877294	-0.978821	-8.352164	-0.138511	0.132315	-0.093220	-0.143583	-0.726101	-0.629807	0.235593
04788	-4.952337	-0.822921	-8.449219	0.022272	0.088896	0.015015	-0.143420	-0.726288	-0.629644	0.235554
04789	-5.049089	-0.715827	-8.419840	0.113709	-0.028280	0.030365	-0.143266	-0.726478	-0.629469	0.235528
04790	-5.107819	-0.665817	-8.370947	0.149738	-0.111894	0.014364	-0.143191	-0.726614	-0.629306	0.235590
04791	-5.087752	-0.660952	-8.350768	0.154685	-0.104424	-0.013576	-0.143175	-0.726698	-0.629147	0.235765
04792	-5.050415	-0.705794	-8.291025	0.106645	-0.091720	-0.079952	-0.143210	-0.726749	-0.629004	0.235966
04793	-5.035026	-0.755925	-8.338378	0.068349	-0.043549	-0.043098	-0.143237	-0.726785	-0.628880	0.236170
04794	-4.994402	-0.718036	-8.307272	0.106707	-0.027398	-0.093723	-0.143262	-0.726779	-0.628813	0.236353
04795	-4.897618	-0.813233	-8.385050	0.037144	0.111995	-0.068810	-0.143281	-0.726764	-0.628770	0.236500
04796	-4.898705	-0.786375	-8.481414	0.080264	0.156356	0.011731	-0.143274	-0.726770	-0.628720	0.236618
04797	-4.898029	-0.746214	-8.539175	0.130792	0.179656	0.057250	-0.143192	-0.726820	-0.628647	0.236710
04798	-4.996411	-0.639826	-8.508749	0.222042	0.062615	0.072609	-0.143090	-0.726908	-0.628559	0.236736
04799	-5.036025	-0.625781	-8.469808	0.227036	0.006037	0.058443	-0.142964	-0.726999	-0.628466	0.236778
04800	-5.101427	-0.714207	-8.460352	0.133422	-0.040327	0.091492	-0.142875	-0.727088	-0.628361	0.236839
04801	-5.121015	-0.693939	-8.489517	0.157575	-0.046500	0.124679	-0.142762	-0.727177	-0.628257	0.236908
04802	-5.081092	-0.738497	-8.519450	0.123887	0.009202	0.133592	-0.142665	-0.727263	-0.628165	0.236946
04803	-5.038548	-0.727769	-8.568820	0.147993	0.067074	0.152999	-0.142550	-0.727327	-0.628104	0.236982
04804	-5.041735	-0.798063	-8.588511	0.083130	0.085906	0.177519	-0.142527	-0.727349	-0.628050	0.237072
04805	-5.040550	-0.744268	-8.607009	0.140881	0.088279	0.188014	-0.142507	-0.727350	-0.628001	0.237211
04806	-5.081978	-0.716531	-8.615561	0.167261	0.053911	0.214123	-0.142466	-0.727361	-0.627955	0.237323
04807	-5.080831	-0.676833	-8.673646	0.217795	0.077219	0.259636	-0.142384	-0.727357	-0.627952	0.237391
04808	-5.141134	-0.641493	-8.663354	0.246595	0.014525	0.278668	-0.142317	-0.727338	-0.627967	0.237448
04809	-5.144912	-0.725800	-8.634049	0.160348	0.011144	0.262921	-0.142317	-0.727280	-0.628014	0.237504
04810	-5.084682	-0.763814	-8.644077	0.131450	0.074232	0.243887	-0.142305	-0.727263	-0.628032	0.237517
04811	-4.979412	-0.748811	-8.586283	0.148362	0.132193	0.139198	-0.142235	-0.727239	-0.628073	0.237521
04812	-4.996648	-0.700249	-8.537746	0.186752	0.084275	0.102350	-0.142211	-0.727245	-0.628091	0.237470
04813	-5.019386	-0.760932	-8.626424	0.138872	0.117676	0.195075	-0.142172	-0.727259	-0.628107	0.237410
04814	-5.079305	-0.722704	-8.704775	0.182034	0.098001	0.289392	-0.142188	-0.727299	-0.628080	0.237350
04815	-5.100273	-0.741398	-8.675808	0.155809	0.068595	0.277066	-0.142205	-0.727350	-0.628028	0.237319
04816	-5.099642	-0.726415	-8.636698	0.162972	0.047846	0.242049	-0.142273	-0.727401	-0.627955	0.237315
04817	-5.140938	-0.695454	-8.733771	0.203919	0.056383	0.343439	-0.142305	-0.727458	-0.627876	0.237332
04818	-5.202308	-0.656766	-8.723122	0.232713	-0.006318	0.362479	-0.142413	-0.727493	-0.627810	0.237335
04819	-5.270213	-0.755579	-8.663778	0.117715	-0.074895	0.355283	-0.142541	-0.727504	-0.627763	0.237347
04820	-5.292335	-0.745833	-8.643138	0.120080	-0.103034	0.348212	-0.142692	-0.727484	-0.627740	0.237379
04821	-5.251298	-0.718279	-8.564083	0.137038	-0.109126	0.257312	-0.142865	-0.727455	-0.627730	0.237390
04822	-5.131736	-0.790949	-8.495839	0.064913	-0.026196	0.143953	-0.143026	-0.727406	-0.627752	0.237385
04823	-5.093661	-0.818062	-8.573616	0.053004	0.051469	0.193113	-0.143174	-0.727343	-0.627796	0.237372
04824	-4.968040	-0.766455	-8.593410	0.117663	0.161099	0.140994	-0.143291	-0.727296	-0.627845	0.237316
04825	-4.949668	-0.813585	-8.642884	0.079376	0.209286	0.177832	-0.143341	-0.727267	-0.627905	0.237217
04826	-5.029316	-0.766655	-8.613607	0.110592	0.118253	0.189802	-0.143395	-0.727254	-0.627954	0.237093
04827	-4.983362	-0.697841	-8.594928	0.177930	0.135401	0.144404	-0.143416	-0.727246	-0.628001	0.236981
04828	-5.083473	-0.642268	-8.634065	0.225938	0.059075	0.224580	-0.143492	-0.727273	-0.628014	0.236819
04829	-5.098468	-0.562715	-8.595847	0.293327	0.012183	0.192982	-0.143504	-0.727315	-0.628034	0.236625
04830	-5.111990	-0.469422	-8.518832	0.367720	-0.055549	0.126377	-0.143557	-0.727342	-0.628080	0.236391
04831	-5.111819	-0.507667	-8.461740	0.317484	-0.078728	0.080870	-0.143682	-0.727310	-0.628149	0.236228
04832	-5.117993	-0.642769	-8.325809	0.159046	-0.127364	-0.020620	-0.143949	-0.727229	-0.628206	0.236163
04833	-5.063952	-0.759367	-8.306075	0.043940	-0.067869	-0.055404	-0.144236	-0.727125	-0.628249	0.236195
04834	-5.047697	-0.763776	-8.323658	0.041454	-0.039369	-0.048333	-0.144570	-0.726998	-0.628295	0.236260
04835	-5.011606	-0.804804	-8.263634	-0.006415	-0.026841	-0.114709	-0.144810	-0.726866	-0.628375	0.236307
04836	-5.058595	-0.855303	-8.330771	-0.052077	-0.021641	-0.029053	-0.145017	-0.726762	-0.628449	0.236302
04837	-5.040087	-0.889435	-8.252586	-0.097525	-0.037443	-0.102495	-0.145123	-0.726689	-0.628530	0.236248
04838	-5.078332	-0.816469	-8.320490	-0.020766	-0.048572	-0.030876	-0.145143	-0.726677	-0.628581	0.236136
04839	-5.089889	-0.669965	-8.261887	0.111434	-0.114107	-0.086991	-0.145083	-0.726704	-0.628627	0.235967
04840	-5.125286	-0.612468	-8.194691	0.152234	-0.190385	-0.130889	-0.145015	-0.726740	-0.628665	0.235795
04841	-5.121930	-0.612503	-8.108615	0.138006	-0.233366	-0.206155	-0.144952	-0.726753	-0.628714	0.235664
04842	-5.062065	-0.703770	-8.189471	0.065867	-0.129567	-0.160428	-0.144897	-0.726759	-0.628760	0.235557
04843	-5.104892	-0.770344	-8.210529	-0.001171	-0.146565	-0.115025	-0.144857	-0.726785	-0.628765	0.235487
04844	-5.145642	-0.781695	-8.250408	-0.010812	-0.161147	-0.059133	-0.144796	-0.726825	-0.628755	0.235429
04845	-5.124943	-0.802914	-8.310089	-0.020299	-0.111798	-0.017057	-0.144736	-0.726863	-0.628732	0.235411
04846	-5.142947	-0.753559	-8.348994	0.032455	-0.116686	0.021376	-0.144707	-0.726896	-0.628702	0.235408
04847	-5.143390	-0.768254	-8.300207	0.011016	-0.138721	-0.018876	-0.144696	-0.726904	-0.628671	0.235472
04848	-5.101767	-0.743308	-8.309290	0.042130	-0.101678	-0.034512	-0.144692	-0.726926	-0.628605	0.235581
04849	-5.119037	-0.654204	-8.317623	0.131103	-0.126471	-0.025850	-0.144594	-0.726942	-0.628579	0.235663
04850	-5.223036	-0.657911	-8.336393	0.121520	-0.205079	0.043863	-0.144561	-0.726944	-0.628560	0.235727
04851	-5.264033	-0.644221	-8.296548	0.126513	-0.261666	0.029736	-0.144506	-0.726916	-0.628566	0.235828
04852	-5.165292	-0.726306	-8.336063	0.063958	-0.143096	0.019563	-0.144509	-0.726877	-0.628562	0.235957
04853	-5.002202	-0.749020	-8.375145	0.066367	0.020751	-0.028962	-0.144500	-0.726838	-0.628556	0.236100
04854	-4.902152	-0.789116	-8.472839	0.054202	0.162585	0.006346	-0.144479	-0.726809	-0.628558	0.236198
04855	-4.883070	-0.812003	-8.531383	0.044717	0.211940	0.048413	-0.144398	-0.726804	-0.628560	0.236258
04856	-4.985315	-0.802363	-8.511419	0.042349	0.112383	0.083119	-0.144287	-0.726827	-0.628556	0.236265
