// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B48506
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Quat_q0	Quat_q1	Quat_q2	Quat_q3
04744	-2.128860	-4.794400	7.965725	0.059622	0.048050	-0.275118	-0.626254	0.089273	-0.275237	0.723934
04745	-2.201517	-4.823558	8.037149	0.083516	0.097894	-0.184988	-0.626330	0.089312	-0.275360	0.723817
04746	-2.195640	-4.889722	8.137250	0.075719	0.064385	-0.069219	-0.626379	0.089362	-0.275654	0.723656
04747	-2.176939	-5.000184	8.149922	-0.012218	0.045213	-0.006570	-0.626448	0.089430	-0.275995	0.723458
04748	-2.109230	-5.101505	8.155641	-0.104998	-0.020042	0.035016	-0.626520	0.089487	-0.276335	0.723259
04749	-2.006040	-5.150479	8.241215	-0.122537	-0.145194	0.108661	-0.626580	0.089539	-0.276628	0.723089
04750	-2.065528	-5.190695	8.286980	-0.119877	-0.103444	0.180244	-0.626608	0.089540	-0.276850	0.722979
04751	-2.154992	-5.087542	8.298951	-0.006060	-0.029876	0.157204	-0.626601	0.089560	-0.276883	0.722971
04752	-2.247638	-5.010427	8.354872	0.105663	0.039272	0.184684	-0.626578	0.089694	-0.276759	0.723022
04753	-2.239862	-4.948723	8.335619	0.148776	0.038859	0.135466	-0.626579	0.089968	-0.276553	0.723065
04754	-2.200077	-4.931912	8.353380	0.165071	0.000998	0.132955	-0.626609	0.090247	-0.276366	0.723076
04755	-2.229298	-4.978640	8.420852	0.164214	0.017852	0.219266	-0.626667	0.090474	-0.276236	0.723047
04756	-2.126629	-5.057328	8.406365	0.070071	-0.068232	0.225067	-0.626758	0.090553	-0.276169	0.722984
04757	-2.066539	-5.152055	8.333959	-0.058237	-0.099048	0.200101	-0.626845	0.090461	-0.276185	0.722914
04758	-2.000311	-5.149847	8.345090	-0.066661	-0.169936	0.193779	-0.626923	0.090138	-0.276309	0.722839
04759	-2.072483	-5.120301	8.291335	-0.056329	-0.094417	0.149582	-0.626972	0.089711	-0.276467	0.722789
04760	-2.136440	-5.028722	8.258415	0.015008	-0.036881	0.089446	-0.627023	0.089322	-0.276577	0.722751
04761	-2.176542	-4.946278	8.243728	0.082847	-0.004267	0.044045	-0.627076	0.089090	-0.276584	0.722731
04762	-2.198164	-4.907389	8.143387	0.070584	0.042310	-0.054492	-0.627124	0.089101	-0.276462	0.722735
04763	-2.226459	-4.889862	8.191214	0.112950	0.058482	-0.017399	-0.627163	0.089317	-0.276221	0.722766
04764	-2.150363	-4.924100	8.141214	0.045656	0.009662	-0.058303	-0.627209	0.089703	-0.275947	0.722783
04765	-2.075206	-5.021779	8.111171	-0.064882	-0.038320	-0.049995	-0.627255	0.090173	-0.275675	0.722789
04766	-2.015948	-5.111562	8.103891	-0.154165	-0.078508	-0.023141	-0.627310	0.090594	-0.275443	0.722777
04767	-1.944576	-5.140098	8.157911	-0.164703	-0.153485	0.021072	-0.627357	0.090886	-0.275292	0.722757
04768	-1.879539	-5.104908	8.150217	-0.149747	-0.212173	-0.017211	-0.627373	0.090961	-0.275237	0.722754
04769	-1.924611	-5.017344	8.199820	-0.042907	-0.188726	-0.010776	-0.627382	0.090828	-0.275256	0.722757
04770	-2.018529	-4.973348	8.233855	0.027664	-0.114570	0.015391	-0.627333	0.090581	-0.275366	0.722788
04771	-2.088500	-4.973087	8.263418	0.053620	-0.060420	0.054985	-0.627252	0.090316	-0.275472	0.722850
04772	-2.171308	-4.902171	8.295913	0.144063	0.000864	0.063915	-0.627188	0.090071	-0.275554	0.722905
04773	-2.165304	-4.936214	8.315038	0.120595	-0.011058	0.095891	-0.627129	0.089904	-0.275574	0.722970
04774	-2.102083	-4.933852	8.285437	0.094439	-0.064809	0.056304	-0.627085	0.089785	-0.275585	0.723019
